Account,tconst,averageRating,numVotes
21bridgesmovie,tt8688634,6.6,18694
47metersdown,tt7329656,5.0,12683
abeautifuldaymovie,tt3224458,7.4,29979
abominablemovie,tt6324278,7.0,18487
adastramovie,tt2935510,6.6,147914
adogsjourneymovie,tt8385474,7.4,12969
aftermathmovie,tt5977276,6.3,13315
aftermovie,tt4126476,5.4,24503
ahiddenlifefilm,tt5827916,7.6,6785
alitamovie,tt0437086,7.3,193030
angelhasfallen,tt6189022,6.4,52701
angrybirdsmovie,tt6095472,6.4,14209
annabellemovie,tt8350360,5.9,45505
annamovie,tt7456310,6.6,41431
apollo11movie,tt8760684,8.2,16270
arcticdogsmovie,tt4426464,4.3,787
arcticmovie,tt6820256,6.8,35537
artofracingmovie,tt1478839,7.5,15052
avengers,tt4154796,8.5,675253
beachbummovie,tt6511932,5.5,14316
bernadettefilm,tt2365580,6.5,9876
blackandbluemovie,tt7390646,6.2,8160
blackchristmas,tt10481868,3.2,5684
blindedbythelightmovie,tt8266310,6.9,12686
bombshellmovie,tt6394270,6.8,37040
booksmart,tt1489887,7.2,67127
breakthroughmovie,tt7083526,6.1,6469
brianbanksmovie,tt3920820,7.0,1759
brightburnmovie,tt7752126,6.1,62918
brittanyrunsmov,tt7671064,6.8,10344
captainmarvelofficial,tt4154664,6.9,396773
captivestatemovie,tt5968394,6.0,42594
catsmovie,tt5697572,2.8,27036
charliesangels,tt5033998,4.4,28227
childsplaymovie,tt8663516,5.8,33171
clarathefilm,tt6613878,6.7,2569
coldpursuitmovie,tt5719748,6.2,48171
countdown,tt10039344,5.3,13827
currentwarmovie,tt2140507,6.5,10130
darkwatersmovie,tt9071322,7.6,18951
detectivepikachumovie,tt5884052,6.6,115915
disneyaladdin,tt6139732,7.0,188794
disneyfrozen,tt4520988,7.0,79096
disneymaleficent,tt4777008,6.7,56370
doctorsleepmovie,tt5606664,7.4,80073
dolemiteismyname,tt8526872,7.3,39825
dontletgomovie,tt6803212,6.1,2929
doramovie,tt7547410,6.0,16056
downtonabbey_official,tt6398184,7.4,28234
dumbo,tt3861390,6.3,56279
escaperoom,tt5886046,6.3,68681
everybodyknowsmovie,tt4964788,6.9,24471
fastandfuriousmovie,tt6806448,6.5,134511
fightingwmyfam,tt6513120,7.1,52919
fivefeetapartfilm,tt6472976,7.2,29859
fordvferrari,tt1950186,8.2,157190
freaksthefilm,tt8781414,6.7,12059
geminimanmovie,tt1025100,5.7,56304
glassmovie,tt6823368,6.7,183252
gloriabellmovie,tt6902696,6.3,7429
godzillamovie,tt3741700,6.1,110281
goldfinchmovie,tt3864056,6.2,9389
goodboysmovie,tt7343762,6.7,42113
goodliarmovie,tt5563334,6.5,11972
gretafilm,tt2639336,6.0,20094
halathemovie,tt6348410,5.7,1039
happydeathdaymovie,tt8155288,6.2,46071
harrietfilm,tt4648786,6.3,11330
hellboymovie,tt2274648,5.2,67579
hersmellmovie,tt7942742,6.2,3407
highlifemovie,tt4827558,5.9,21768
highstrungmovie,tt6428150,6.1,399
honeyboymovie,tt8151874,7.4,11001
hotelmumbaifilm,tt5461944,7.6,41680
httydragon,tt2386490,7.5,87927
hustlemovie,tt1298644,5.4,34511
hustlersmovie,tt5503686,6.3,55503
isntitromantic,tt2452244,5.9,54957
